t_rel_s,total,success,availability,rps,p50_ms,p99_ms,p999_ms,max_ms,p99_success_ms,status5xx,conn_refused,timeout,saturated,other_error
-30.0,721,721,1.0000,721.0,357.275,1168.210,1191.576,1191.576,1168.210,0,0,0,0,0
-29.0,1000,1000,1.0000,1000.0,120.747,367.442,409.308,423.919,367.442,0,0,0,0,0
-28.0,1000,1000,1.0000,1000.0,2.855,8.318,9.598,10.535,8.318,0,0,0,0,0
-27.0,1000,1000,1.0000,1000.0,2.324,8.214,32.163,38.177,8.214,0,0,0,0,0
-26.0,1000,1000,1.0000,1000.0,2.091,4.338,5.835,6.839,4.338,0,0,0,0,0
-25.0,1000,1000,1.0000,1000.0,1.944,19.303,25.449,30.347,19.303,0,0,0,0,0
-24.0,1000,1000,1.0000,1000.0,1.926,12.079,17.343,17.403,12.079,0,0,0,0,0
-23.0,1000,1000,1.0000,1000.0,1.833,4.300,5.521,5.698,4.300,0,0,0,0,0
-22.0,1000,1000,1.0000,1000.0,1.855,5.604,8.004,8.394,5.604,0,0,0,0,0
-21.0,1000,1000,1.0000,1000.0,1.626,3.711,7.967,8.647,3.711,0,0,0,0,0
-20.0,1000,1000,1.0000,1000.0,1.480,2.414,2.883,3.138,2.414,0,0,0,0,0
-19.0,1000,1000,1.0000,1000.0,1.586,2.890,4.602,5.608,2.890,0,0,0,0,0
-18.0,1000,1000,1.0000,1000.0,1.584,2.627,2.954,3.037,2.627,0,0,0,0,0
-17.0,1000,1000,1.0000,1000.0,1.642,3.329,34.136,37.118,3.329,0,0,0,0,0
-16.0,1000,1000,1.0000,1000.0,1.644,3.276,3.857,4.119,3.276,0,0,0,0,0
-15.0,1000,1000,1.0000,1000.0,1.655,2.943,3.444,3.935,2.943,0,0,0,0,0
-14.0,1000,1000,1.0000,1000.0,1.757,12.651,17.761,18.963,12.651,0,0,0,0,0
-13.0,1000,1000,1.0000,1000.0,1.682,11.479,15.922,16.120,11.479,0,0,0,0,0
-12.0,1000,1000,1.0000,1000.0,1.616,2.890,26.541,36.044,2.890,0,0,0,0,0
-11.0,1000,1000,1.0000,1000.0,1.733,3.375,3.680,3.708,3.375,0,0,0,0,0
-10.0,1000,1000,1.0000,1000.0,1.614,3.013,5.503,6.497,3.013,0,0,0,0,0
-9.0,1000,1000,1.0000,1000.0,1.513,2.749,3.758,3.767,2.749,0,0,0,0,0
-8.0,1000,1000,1.0000,1000.0,1.627,3.699,4.773,5.896,3.699,0,0,0,0,0
-7.0,1000,1000,1.0000,1000.0,1.612,2.713,3.182,3.389,2.713,0,0,0,0,0
-6.0,1000,1000,1.0000,1000.0,1.680,3.231,4.285,4.387,3.231,0,0,0,0,0
-5.0,1000,1000,1.0000,1000.0,1.657,3.516,4.964,5.419,3.516,0,0,0,0,0
-4.0,1000,1000,1.0000,1000.0,1.745,3.243,3.992,4.780,3.243,0,0,0,0,0
-3.0,1000,1000,1.0000,1000.0,1.675,2.831,3.162,3.166,2.831,0,0,0,0,0
-2.0,1000,1000,1.0000,1000.0,1.689,5.291,7.954,8.954,5.291,0,0,0,0,0
-1.0,1000,1000,1.0000,1000.0,1.751,3.278,3.998,4.048,3.278,0,0,0,0,0
0.0,1000,304,0.3040,1000.0,2.948,322.772,346.739,358.232,337.131,0,665,0,0,31
1.0,1000,1000,1.0000,1000.0,390.687,740.263,768.973,771.174,740.263,0,0,0,0,0
2.0,1000,1000,1.0000,1000.0,4.009,337.711,381.611,387.580,337.711,0,0,0,0,0
3.0,1000,1000,1.0000,1000.0,2.286,4.546,4.807,5.135,4.546,0,0,0,0,0
4.0,1000,1000,1.0000,1000.0,2.141,4.506,5.230,5.470,4.506,0,0,0,0,0
5.0,1000,1000,1.0000,1000.0,2.094,4.155,8.338,9.279,4.155,0,0,0,0,0
6.0,1000,1000,1.0000,1000.0,1.805,3.256,3.921,4.039,3.256,0,0,0,0,0
7.0,1000,1000,1.0000,1000.0,1.755,3.157,4.058,4.533,3.157,0,0,0,0,0
8.0,1000,1000,1.0000,1000.0,1.752,3.054,3.487,3.630,3.054,0,0,0,0,0
9.0,1000,1000,1.0000,1000.0,1.912,5.704,9.568,9.786,5.704,0,0,0,0,0
10.0,1000,1000,1.0000,1000.0,1.821,3.297,3.651,3.654,3.297,0,0,0,0,0
11.0,1000,1000,1.0000,1000.0,1.889,3.294,3.663,3.746,3.294,0,0,0,0,0
12.0,1000,1000,1.0000,1000.0,1.882,3.284,3.939,4.333,3.284,0,0,0,0,0
13.0,1000,1000,1.0000,1000.0,1.884,3.491,3.788,4.147,3.491,0,0,0,0,0
14.0,1000,1000,1.0000,1000.0,1.747,5.982,8.190,9.210,5.982,0,0,0,0,0
15.0,1000,1000,1.0000,1000.0,1.685,3.021,3.650,4.472,3.021,0,0,0,0,0
16.0,1000,1000,1.0000,1000.0,1.740,3.158,4.177,4.516,3.158,0,0,0,0,0
