t_rel_s,total,success,availability,rps,p50_ms,p99_ms,p999_ms,max_ms,p99_success_ms,status5xx,conn_refused,timeout,saturated,other_error
-30.0,683,683,1.0000,683.0,322.762,1080.726,1099.972,1099.972,1080.726,0,0,0,0,0
-29.0,1000,1000,1.0000,1000.0,9.033,208.198,217.200,218.234,208.198,0,0,0,0,0
-28.0,1000,1000,1.0000,1000.0,2.471,6.774,10.628,11.638,6.774,0,0,0,0,0
-27.0,1000,1000,1.0000,1000.0,2.077,7.153,8.911,9.155,7.153,0,0,0,0,0
-26.0,1000,1000,1.0000,1000.0,1.959,3.994,6.146,7.146,3.994,0,0,0,0,0
-25.0,1000,1000,1.0000,1000.0,2.120,6.621,10.037,10.192,6.621,0,0,0,0,0
-24.0,1000,1000,1.0000,1000.0,1.649,3.400,4.026,4.256,3.400,0,0,0,0,0
-23.0,1000,1000,1.0000,1000.0,1.574,3.250,4.063,4.174,3.250,0,0,0,0,0
-22.0,1000,1000,1.0000,1000.0,1.756,5.534,7.140,7.623,5.534,0,0,0,0,0
-21.0,1000,1000,1.0000,1000.0,1.656,5.539,7.494,7.913,5.539,0,0,0,0,0
-20.0,1000,1000,1.0000,1000.0,1.424,2.421,2.954,2.977,2.421,0,0,0,0,0
-19.0,1000,1000,1.0000,1000.0,1.472,2.389,2.769,2.890,2.389,0,0,0,0,0
-18.0,1000,1000,1.0000,1000.0,1.713,3.609,4.752,5.061,3.609,0,0,0,0,0
-17.0,1000,1000,1.0000,1000.0,1.655,3.170,3.793,3.904,3.170,0,0,0,0,0
-16.0,1000,1000,1.0000,1000.0,1.632,2.791,3.400,4.643,2.791,0,0,0,0,0
-15.0,1000,1000,1.0000,1000.0,1.519,2.935,6.416,6.626,2.935,0,0,0,0,0
-14.0,1000,1000,1.0000,1000.0,1.417,2.542,3.209,3.307,2.542,0,0,0,0,0
-13.0,1000,1000,1.0000,1000.0,1.413,2.612,3.498,4.076,2.612,0,0,0,0,0
-12.0,1000,1000,1.0000,1000.0,1.522,3.343,5.026,5.162,3.343,0,0,0,0,0
-11.0,1000,1000,1.0000,1000.0,1.328,2.293,2.776,2.799,2.293,0,0,0,0,0
-10.0,1000,1000,1.0000,1000.0,1.534,2.673,3.184,4.117,2.673,0,0,0,0,0
-9.0,1000,1000,1.0000,1000.0,1.551,2.718,3.112,3.236,2.718,0,0,0,0,0
-8.0,1000,1000,1.0000,1000.0,1.547,2.716,3.428,4.254,2.716,0,0,0,0,0
-7.0,1000,1000,1.0000,1000.0,1.662,10.526,16.005,17.261,10.526,0,0,0,0,0
-6.0,1000,1000,1.0000,1000.0,1.634,2.954,3.741,3.880,2.954,0,0,0,0,0
-5.0,1000,1000,1.0000,1000.0,1.592,2.811,3.195,3.282,2.811,0,0,0,0,0
-4.0,1000,1000,1.0000,1000.0,1.764,3.235,4.162,4.670,3.235,0,0,0,0,0
-3.0,1000,1000,1.0000,1000.0,1.729,2.957,3.217,3.390,2.957,0,0,0,0,0
-2.0,1000,1000,1.0000,1000.0,1.790,3.895,4.899,4.905,3.895,0,0,0,0,0
-1.0,1000,1000,1.0000,1000.0,1.573,3.218,7.197,8.258,3.218,0,0,0,0,0
0.0,1000,1000,1.0000,1000.0,1.961,40.657,49.638,50.571,40.657,0,0,0,0,0
1.0,1000,835,0.8350,1000.0,43.031,315.895,337.900,342.604,317.897,165,0,0,0,0
2.0,1000,817,0.8170,1000.0,25.024,105.727,113.501,122.489,106.094,183,0,0,0,0
3.0,1000,791,0.7910,1000.0,10.490,33.961,39.978,42.511,35.973,209,0,0,0,0
4.0,1000,787,0.7870,1000.0,12.711,41.162,51.896,58.436,42.161,213,0,0,0,0
5.0,1000,921,0.9210,1000.0,7.509,21.468,26.325,28.256,21.616,79,0,0,0,0
6.0,1000,1000,1.0000,1000.0,7.045,13.138,14.439,15.856,13.138,0,0,0,0,0
7.0,1000,1000,1.0000,1000.0,7.228,14.234,16.318,16.526,14.234,0,0,0,0,0
8.0,1000,1000,1.0000,1000.0,7.214,24.360,28.550,30.190,24.360,0,0,0,0,0
9.0,1000,1000,1.0000,1000.0,7.019,11.965,13.044,13.949,11.965,0,0,0,0,0
10.0,1000,1000,1.0000,1000.0,6.960,12.184,14.141,14.268,12.184,0,0,0,0,0
11.0,1000,1000,1.0000,1000.0,6.932,14.135,18.130,22.107,14.135,0,0,0,0,0
12.0,1000,1000,1.0000,1000.0,7.284,31.385,49.558,52.567,31.385,0,0,0,0,0
13.0,1000,1000,1.0000,1000.0,7.320,15.138,19.017,20.006,15.138,0,0,0,0,0
14.0,1000,1000,1.0000,1000.0,6.959,11.833,13.053,13.442,11.833,0,0,0,0,0
15.0,1000,1000,1.0000,1000.0,6.957,11.986,13.654,14.379,11.986,0,0,0,0,0
16.0,1000,1000,1.0000,1000.0,6.852,11.455,12.733,12.745,11.455,0,0,0,0,0
17.0,1000,1000,1.0000,1000.0,6.957,11.872,14.300,15.767,11.872,0,0,0,0,0
18.0,1000,1000,1.0000,1000.0,7.709,16.019,19.446,20.285,16.019,0,0,0,0,0
19.0,1000,1000,1.0000,1000.0,3.470,8.196,13.261,13.455,8.196,0,0,0,0,0
20.0,1000,1000,1.0000,1000.0,3.568,5.958,10.190,30.186,5.958,0,0,0,0,0
21.0,1000,1000,1.0000,1000.0,3.488,5.636,6.113,6.415,5.636,0,0,0,0,0
22.0,1000,1000,1.0000,1000.0,3.590,6.859,9.229,10.257,6.859,0,0,0,0,0
23.0,1000,1000,1.0000,1000.0,3.757,11.249,12.852,12.903,11.249,0,0,0,0,0
24.0,1000,1000,1.0000,1000.0,3.685,7.301,8.009,8.273,7.301,0,0,0,0,0
25.0,1000,1000,1.0000,1000.0,3.389,5.538,6.437,7.539,5.538,0,0,0,0,0
26.0,1000,1000,1.0000,1000.0,3.481,6.294,6.898,7.609,6.294,0,0,0,0,0
27.0,1000,1000,1.0000,1000.0,3.521,6.224,6.815,6.915,6.224,0,0,0,0,0
