t_rel_s,total,success,availability,rps,p50_ms,p99_ms,p999_ms,max_ms,p99_success_ms,status5xx,conn_refused,timeout,saturated,other_error
-30.0,698,698,1.0000,698.0,462.528,2019.508,2106.146,2106.146,2019.508,0,0,0,0,0
-29.0,1000,998,0.9980,1000.0,912.325,1253.792,1347.788,1350.553,1260.813,0,0,0,0,2
-28.0,1000,1000,1.0000,1000.0,400.868,749.433,776.351,779.310,749.433,0,0,0,0,0
-27.0,1000,1000,1.0000,1000.0,3.825,50.304,60.044,60.149,50.304,0,0,0,0,0
-26.0,1000,1000,1.0000,1000.0,2.229,4.139,6.120,6.960,4.139,0,0,0,0,0
-25.0,1000,1000,1.0000,1000.0,2.179,4.390,5.567,5.636,4.390,0,0,0,0,0
-24.0,1000,1000,1.0000,1000.0,2.190,4.453,4.813,4.872,4.453,0,0,0,0,0
-23.0,1000,1000,1.0000,1000.0,1.999,3.872,4.472,4.652,3.872,0,0,0,0,0
-22.0,1000,1000,1.0000,1000.0,2.071,4.840,6.258,6.522,4.840,0,0,0,0,0
-21.0,1000,1000,1.0000,1000.0,1.988,3.558,4.385,4.591,3.558,0,0,0,0,0
-20.0,1000,1000,1.0000,1000.0,1.874,3.220,7.110,7.783,3.220,0,0,0,0,0
-19.0,1000,1000,1.0000,1000.0,1.985,4.356,5.362,6.299,4.356,0,0,0,0,0
-18.0,1000,1000,1.0000,1000.0,1.992,4.237,5.498,6.001,4.237,0,0,0,0,0
-17.0,1000,1000,1.0000,1000.0,2.037,21.508,52.069,67.479,21.508,0,0,0,0,0
-16.0,1000,1000,1.0000,1000.0,1.835,44.177,56.263,64.226,44.177,0,0,0,0,0
-15.0,1000,1000,1.0000,1000.0,1.699,2.817,3.087,3.128,2.817,0,0,0,0,0
-14.0,1000,1000,1.0000,1000.0,1.762,3.148,3.431,3.475,3.148,0,0,0,0,0
-13.0,1000,1000,1.0000,1000.0,1.829,3.239,4.020,5.153,3.239,0,0,0,0,0
-12.0,1000,1000,1.0000,1000.0,1.875,5.298,7.276,7.366,5.298,0,0,0,0,0
-11.0,1000,1000,1.0000,1000.0,1.866,3.262,4.391,4.424,3.262,0,0,0,0,0
-10.0,1000,1000,1.0000,1000.0,1.926,4.461,6.567,7.142,4.461,0,0,0,0,0
-9.0,1000,1000,1.0000,1000.0,1.902,3.321,3.805,4.009,3.321,0,0,0,0,0
