t_rel_s,total,success,availability,rps,p50_ms,p99_ms,p999_ms,max_ms,p99_success_ms,status5xx,conn_refused,timeout,saturated,other_error
-30.0,704,704,1.0000,704.0,501.067,1905.316,1928.375,1928.375,1905.316,0,0,0,0,0
-29.0,1000,1000,1.0000,1000.0,793.792,931.482,964.324,1046.436,931.482,0,0,0,0,0
-28.0,1000,1000,1.0000,1000.0,607.308,784.307,822.731,825.304,784.307,0,0,0,0,0
-27.0,1000,1000,1.0000,1000.0,310.342,444.142,477.693,479.746,444.142,0,0,0,0,0
-26.0,1000,1000,1.0000,1000.0,24.575,164.317,176.901,178.376,164.317,0,0,0,0,0
-25.0,1000,1000,1.0000,1000.0,5.968,33.729,43.354,43.578,33.729,0,0,0,0,0
-24.0,1000,1000,1.0000,1000.0,7.886,36.619,55.229,55.663,36.619,0,0,0,0,0
-23.0,1000,1000,1.0000,1000.0,2.717,16.601,23.772,25.021,16.601,0,0,0,0,0
-22.0,1000,1000,1.0000,1000.0,3.132,52.722,64.557,64.762,52.722,0,0,0,0,0
-21.0,1000,1000,1.0000,1000.0,2.915,9.729,20.881,22.878,9.729,0,0,0,0,0
-20.0,1000,1000,1.0000,1000.0,2.068,3.411,4.931,5.704,3.411,0,0,0,0,0
-19.0,1000,1000,1.0000,1000.0,2.281,3.630,4.094,5.677,3.630,0,0,0,0,0
-18.0,1000,1000,1.0000,1000.0,2.037,4.340,4.928,5.061,4.340,0,0,0,0,0
-17.0,1000,1000,1.0000,1000.0,2.086,3.612,3.949,4.360,3.612,0,0,0,0,0
-16.0,1000,1000,1.0000,1000.0,1.967,3.279,4.699,4.843,3.279,0,0,0,0,0
-15.0,1000,1000,1.0000,1000.0,1.952,3.278,4.843,6.836,3.278,0,0,0,0,0
-14.0,1000,1000,1.0000,1000.0,1.844,2.942,3.312,3.899,2.942,0,0,0,0,0
-13.0,1000,1000,1.0000,1000.0,1.958,5.658,7.325,7.823,5.658,0,0,0,0,0
-12.0,1000,1000,1.0000,1000.0,1.744,2.786,3.434,3.726,2.786,0,0,0,0,0
-11.0,1000,1000,1.0000,1000.0,1.756,2.921,3.900,4.247,2.921,0,0,0,0,0
-10.0,1000,1000,1.0000,1000.0,1.795,2.950,23.650,24.647,2.950,0,0,0,0,0
-9.0,1000,1000,1.0000,1000.0,1.810,2.925,3.546,3.975,2.925,0,0,0,0,0
-8.0,1000,1000,1.0000,1000.0,1.948,3.880,5.189,5.210,3.880,0,0,0,0,0
-7.0,1000,1000,1.0000,1000.0,1.944,3.226,3.719,4.368,3.226,0,0,0,0,0
-6.0,1000,1000,1.0000,1000.0,1.818,2.830,3.381,3.416,2.830,0,0,0,0,0
-5.0,1000,1000,1.0000,1000.0,1.883,3.149,9.118,11.120,3.149,0,0,0,0,0
-4.0,1000,1000,1.0000,1000.0,1.886,2.981,3.566,4.575,2.981,0,0,0,0,0
-3.0,1000,1000,1.0000,1000.0,2.033,3.729,4.970,5.218,3.729,0,0,0,0,0
-2.0,1000,1000,1.0000,1000.0,1.922,3.039,3.556,3.747,3.039,0,0,0,0,0
-1.0,1000,1000,1.0000,1000.0,1.929,3.287,5.535,6.273,3.287,0,0,0,0,0
0.0,1000,1000,1.0000,1000.0,3.865,524.561,555.211,567.986,524.561,0,0,0,0,0
1.0,1000,1000,1.0000,1000.0,35.456,340.702,349.473,353.526,340.702,0,0,0,0,0
2.0,1000,1000,1.0000,1000.0,4.816,146.791,173.731,186.922,146.791,0,0,0,0,0
3.0,1000,1000,1.0000,1000.0,2.326,4.789,5.328,5.889,4.789,0,0,0,0,0
4.0,1000,1000,1.0000,1000.0,2.342,4.553,5.753,6.455,4.553,0,0,0,0,0
5.0,1000,1000,1.0000,1000.0,2.597,6.409,9.428,9.972,6.409,0,0,0,0,0
6.0,1000,1000,1.0000,1000.0,2.184,4.824,7.423,8.303,4.824,0,0,0,0,0
7.0,1000,1000,1.0000,1000.0,2.336,4.891,5.774,6.623,4.891,0,0,0,0,0
8.0,1000,1000,1.0000,1000.0,2.112,4.026,4.673,4.819,4.026,0,0,0,0,0
9.0,1000,1000,1.0000,1000.0,2.155,4.479,5.728,7.289,4.479,0,0,0,0,0
10.0,1000,1000,1.0000,1000.0,2.241,4.118,4.845,5.848,4.118,0,0,0,0,0
11.0,1000,1000,1.0000,1000.0,2.098,3.807,4.891,5.049,3.807,0,0,0,0,0
12.0,1000,1000,1.0000,1000.0,2.197,7.290,16.784,19.767,7.290,0,0,0,0,0
13.0,1000,1000,1.0000,1000.0,2.011,4.110,4.857,4.972,4.110,0,0,0,0,0
14.0,1000,1000,1.0000,1000.0,1.847,3.744,4.506,4.530,3.744,0,0,0,0,0
15.0,1000,1000,1.0000,1000.0,1.955,4.434,6.826,6.924,4.434,0,0,0,0,0
16.0,1000,1000,1.0000,1000.0,1.925,3.648,4.054,4.251,3.648,0,0,0,0,0
