t_rel_s,total,success,availability,rps,p50_ms,p99_ms,p999_ms,max_ms,p99_success_ms,status5xx,conn_refused,timeout,saturated,other_error
-30.0,666,666,1.0000,666.0,469.837,1216.547,1381.611,1381.611,1216.547,0,0,0,0,0
-29.0,1000,1000,1.0000,1000.0,209.870,434.992,523.846,629.423,434.992,0,0,0,0,0
-28.0,1000,1000,1.0000,1000.0,2.501,5.856,7.118,7.358,5.856,0,0,0,0,0
-27.0,1000,1000,1.0000,1000.0,2.566,21.145,29.366,30.335,21.145,0,0,0,0,0
-26.0,1000,1000,1.0000,1000.0,1.712,3.285,4.882,5.318,3.285,0,0,0,0,0
-25.0,1000,1000,1.0000,1000.0,1.784,11.551,14.168,14.195,11.551,0,0,0,0,0
-24.0,1000,1000,1.0000,1000.0,1.870,6.529,20.378,21.388,6.529,0,0,0,0,0
-23.0,1000,1000,1.0000,1000.0,1.537,3.097,3.377,3.432,3.097,0,0,0,0,0
-22.0,1000,1000,1.0000,1000.0,1.669,3.345,3.988,4.354,3.345,0,0,0,0,0
-21.0,1000,1000,1.0000,1000.0,1.552,3.102,4.048,4.630,3.102,0,0,0,0,0
-20.0,1000,1000,1.0000,1000.0,1.360,2.613,7.409,8.156,2.613,0,0,0,0,0
-19.0,1000,1000,1.0000,1000.0,1.321,2.509,2.916,3.203,2.509,0,0,0,0,0
-18.0,1000,1000,1.0000,1000.0,1.455,6.975,8.955,9.144,6.975,0,0,0,0,0
-17.0,1000,1000,1.0000,1000.0,1.445,2.766,3.219,3.337,2.766,0,0,0,0,0
-16.0,1000,1000,1.0000,1000.0,1.388,2.426,3.303,3.588,2.426,0,0,0,0,0
-15.0,1000,1000,1.0000,1000.0,1.469,2.903,3.096,3.268,2.903,0,0,0,0,0
-14.0,1000,1000,1.0000,1000.0,1.495,2.841,3.221,3.256,2.841,0,0,0,0,0
-13.0,1000,1000,1.0000,1000.0,1.530,2.825,3.101,3.308,2.825,0,0,0,0,0
-12.0,1000,1000,1.0000,1000.0,1.546,2.736,3.231,3.279,2.736,0,0,0,0,0
-11.0,1000,1000,1.0000,1000.0,1.588,2.748,3.205,3.328,2.748,0,0,0,0,0
-10.0,1000,1000,1.0000,1000.0,1.656,2.959,3.397,3.418,2.959,0,0,0,0,0
-9.0,1000,1000,1.0000,1000.0,1.675,2.916,3.181,3.386,2.916,0,0,0,0,0
-8.0,1000,1000,1.0000,1000.0,1.748,5.370,7.908,11.761,5.370,0,0,0,0,0
-7.0,1000,1000,1.0000,1000.0,1.793,3.435,3.998,4.084,3.435,0,0,0,0,0
-6.0,1000,1000,1.0000,1000.0,1.552,3.083,7.112,7.213,3.083,0,0,0,0,0
-5.0,1000,1000,1.0000,1000.0,1.383,2.531,3.151,3.172,2.531,0,0,0,0,0
-4.0,1000,1000,1.0000,1000.0,1.461,2.479,2.733,2.839,2.479,0,0,0,0,0
-3.0,1000,1000,1.0000,1000.0,1.389,2.480,2.846,2.935,2.480,0,0,0,0,0
-2.0,1000,1000,1.0000,1000.0,1.451,2.842,4.044,4.144,2.842,0,0,0,0,0
-1.0,1000,1000,1.0000,1000.0,1.449,2.452,2.767,3.135,2.452,0,0,0,0,0
0.0,1000,1000,1.0000,1000.0,2.024,78.338,88.703,90.784,78.338,0,0,0,0,0
1.0,1000,370,0.3700,1000.0,1999.410,3343.802,3375.042,3375.590,3347.680,84,546,0,0,0
2.0,1000,0,0.0000,1000.0,1999.349,2006.918,2015.598,2016.471,NaN,0,1000,0,0,0
3.0,1000,364,0.3640,1000.0,1999.236,2006.545,2008.680,2008.716,1076.402,96,540,0,0,0
4.0,1000,809,0.8090,1000.0,1013.556,1073.549,1079.673,1080.002,1074.543,191,0,0,0,0
5.0,1000,784,0.7840,1000.0,1.897,14.764,19.529,20.322,14.872,216,0,0,0,0
6.0,1000,782,0.7820,1000.0,1.655,3.109,3.433,3.521,3.127,218,0,0,0,0
7.0,1000,806,0.8060,1000.0,1.628,2.845,4.156,4.776,2.860,194,0,0,0,0
8.0,1000,801,0.8010,1000.0,1.681,4.890,6.989,10.996,5.257,199,0,0,0,0
9.0,1000,820,0.8200,1000.0,1.660,3.160,4.112,4.132,3.215,180,0,0,0,0
10.0,1000,791,0.7910,1000.0,1.584,2.804,3.455,3.685,2.901,209,0,0,0,0
11.0,1000,801,0.8010,1000.0,1.690,3.403,3.933,4.681,3.512,199,0,0,0,0
12.0,1000,788,0.7880,1000.0,1.839,1276.269,1290.085,1296.071,1276.269,212,0,0,0,0
13.0,1000,971,0.9710,1000.0,1551.728,1663.204,1674.089,1686.287,1663.306,29,0,0,0,0
14.0,1000,957,0.9570,1000.0,506.213,663.235,686.148,1040.106,667.519,43,0,0,0,0
15.0,1000,1000,1.0000,1000.0,101.298,440.313,450.790,450.870,440.313,0,0,0,0,0
16.0,1000,1000,1.0000,1000.0,2.759,6.340,8.602,10.428,6.340,0,0,0,0,0
17.0,1000,1000,1.0000,1000.0,2.587,4.344,5.138,5.182,4.344,0,0,0,0,0
