t_rel_s,total,success,availability,rps,p50_ms,p99_ms,p999_ms,max_ms,p99_success_ms,status5xx,conn_refused,timeout,saturated,other_error
-30.0,698,698,1.0000,698.0,611.151,2355.124,2418.707,2418.707,2355.124,0,0,0,0,0
-29.0,1000,1000,1.0000,1000.0,1195.628,1438.417,2211.056,2214.044,1438.417,0,0,0,0,0
-28.0,1000,1000,1.0000,1000.0,1105.373,1227.498,1247.062,1257.762,1227.498,0,0,0,0,0
-27.0,1000,1000,1.0000,1000.0,721.683,939.134,946.796,962.697,939.134,0,0,0,0,0
-26.0,1000,1000,1.0000,1000.0,367.419,544.872,569.893,577.542,544.872,0,0,0,0,0
-25.0,1000,1000,1.0000,1000.0,12.165,58.815,77.901,80.920,58.815,0,0,0,0,0
-24.0,1000,1000,1.0000,1000.0,13.180,37.092,49.395,52.374,37.092,0,0,0,0,0
-23.0,1000,1000,1.0000,1000.0,3.014,19.299,24.490,27.865,19.299,0,0,0,0,0
-22.0,1000,1000,1.0000,1000.0,4.386,40.617,50.213,52.524,40.617,0,0,0,0,0
-21.0,1000,1000,1.0000,1000.0,3.810,39.538,45.471,46.441,39.538,0,0,0,0,0
-20.0,1000,1000,1.0000,1000.0,2.569,4.812,5.815,5.924,4.812,0,0,0,0,0
-19.0,1000,1000,1.0000,1000.0,2.870,5.654,6.759,6.878,5.654,0,0,0,0,0
-18.0,1000,1000,1.0000,1000.0,1.995,14.782,21.862,22.858,14.782,0,0,0,0,0
-17.0,1000,1000,1.0000,1000.0,2.145,3.434,3.908,4.004,3.434,0,0,0,0,0
-16.0,1000,1000,1.0000,1000.0,2.055,5.442,31.265,34.353,5.442,0,0,0,0,0
-15.0,1000,1000,1.0000,1000.0,2.047,3.631,4.686,4.728,3.631,0,0,0,0,0
-14.0,1000,1000,1.0000,1000.0,1.775,2.879,3.439,3.882,2.879,0,0,0,0,0
-13.0,1000,1000,1.0000,1000.0,1.781,3.090,4.977,5.573,3.090,0,0,0,0,0
-12.0,1000,1000,1.0000,1000.0,1.762,2.733,3.126,3.514,2.733,0,0,0,0,0
-11.0,1000,1000,1.0000,1000.0,1.773,2.860,3.294,3.444,2.860,0,0,0,0,0
-10.0,1000,1000,1.0000,1000.0,1.853,4.330,9.997,10.735,4.330,0,0,0,0,0
-9.0,1000,1000,1.0000,1000.0,1.770,2.742,2.931,3.322,2.742,0,0,0,0,0
-8.0,1000,1000,1.0000,1000.0,1.787,3.011,3.601,3.726,3.011,0,0,0,0,0
-7.0,1000,1000,1.0000,1000.0,1.842,3.827,5.152,5.258,3.827,0,0,0,0,0
-6.0,1000,1000,1.0000,1000.0,1.792,2.912,4.442,4.743,2.912,0,0,0,0,0
-5.0,1000,1000,1.0000,1000.0,1.867,3.497,4.342,5.044,3.497,0,0,0,0,0
-4.0,1000,1000,1.0000,1000.0,1.836,2.729,3.109,3.114,2.729,0,0,0,0,0
-3.0,1000,1000,1.0000,1000.0,1.857,3.171,4.214,4.432,3.171,0,0,0,0,0
-2.0,1000,1000,1.0000,1000.0,1.774,2.863,3.671,4.667,2.863,0,0,0,0,0
-1.0,1000,1000,1.0000,1000.0,1.767,3.114,29.886,31.927,3.114,0,0,0,0,0
0.0,1000,1000,1.0000,1000.0,3.337,351.934,433.724,434.020,351.934,0,0,0,0,0
1.0,1000,1000,1.0000,1000.0,292.248,739.917,784.112,793.607,739.917,0,0,0,0,0
2.0,1000,1000,1.0000,1000.0,191.086,520.786,531.770,542.422,520.786,0,0,0,0,0
3.0,1000,1000,1.0000,1000.0,2.137,3.416,3.913,4.113,3.416,0,0,0,0,0
4.0,1000,1000,1.0000,1000.0,2.169,3.951,19.227,32.225,3.951,0,0,0,0,0
5.0,1000,1000,1.0000,1000.0,2.905,5.585,6.493,6.592,5.585,0,0,0,0,0
6.0,1000,1000,1.0000,1000.0,2.474,4.763,6.596,7.237,4.763,0,0,0,0,0
7.0,1000,1000,1.0000,1000.0,2.069,3.648,6.666,6.982,3.648,0,0,0,0,0
8.0,1000,1000,1.0000,1000.0,1.890,4.041,6.109,6.786,4.041,0,0,0,0,0
9.0,1000,1000,1.0000,1000.0,1.881,4.491,29.913,32.926,4.491,0,0,0,0,0
10.0,1000,1000,1.0000,1000.0,1.942,3.956,5.328,5.780,3.956,0,0,0,0,0
11.0,1000,1000,1.0000,1000.0,2.010,3.144,3.324,3.435,3.144,0,0,0,0,0
12.0,1000,1000,1.0000,1000.0,2.121,3.925,4.501,4.670,3.925,0,0,0,0,0
13.0,1000,1000,1.0000,1000.0,1.870,3.041,4.627,4.808,3.041,0,0,0,0,0
14.0,1000,1000,1.0000,1000.0,1.817,3.411,28.216,32.218,3.411,0,0,0,0,0
15.0,1000,1000,1.0000,1000.0,1.829,3.478,4.134,4.883,3.478,0,0,0,0,0
16.0,1000,1000,1.0000,1000.0,1.784,2.713,4.161,4.448,2.713,0,0,0,0,0
17.0,1000,1000,1.0000,1000.0,1.869,3.308,4.818,6.092,3.308,0,0,0,0,0
18.0,1000,1000,1.0000,1000.0,1.822,2.847,2.928,3.327,2.847,0,0,0,0,0
19.0,1000,1000,1.0000,1000.0,1.773,3.744,25.477,32.457,3.744,0,0,0,0,0
20.0,1000,1000,1.0000,1000.0,1.799,4.103,5.768,6.202,4.103,0,0,0,0,0
21.0,1000,1000,1.0000,1000.0,1.805,2.954,3.216,3.256,2.954,0,0,0,0,0
22.0,1000,1000,1.0000,1000.0,1.756,5.888,10.937,11.996,5.888,0,0,0,0,0
23.0,1000,1000,1.0000,1000.0,1.747,2.751,4.139,4.924,2.751,0,0,0,0,0
24.0,1000,1000,1.0000,1000.0,1.739,2.888,24.579,25.579,2.888,0,0,0,0,0
25.0,1000,1000,1.0000,1000.0,1.813,3.985,5.348,5.814,3.985,0,0,0,0,0
26.0,1000,1000,1.0000,1000.0,1.729,2.922,5.094,5.540,2.922,0,0,0,0,0
27.0,1000,1000,1.0000,1000.0,1.850,3.522,4.088,4.100,3.522,0,0,0,0,0
28.0,1000,1000,1.0000,1000.0,1.842,3.050,3.733,4.504,3.050,0,0,0,0,0
29.0,1000,1000,1.0000,1000.0,1.826,2.812,3.252,3.624,2.812,0,0,0,0,0
30.0,1000,1000,1.0000,1000.0,1.868,3.835,4.765,4.894,3.835,0,0,0,0,0
31.0,1000,1000,1.0000,1000.0,1.852,2.878,3.026,3.551,2.878,0,0,0,0,0
32.0,1000,1000,1.0000,1000.0,1.907,3.017,4.311,5.242,3.017,0,0,0,0,0
33.0,1000,1000,1.0000,1000.0,1.861,4.205,6.860,6.871,4.205,0,0,0,0,0
34.0,1000,1000,1.0000,1000.0,1.763,2.785,3.029,3.163,2.785,0,0,0,0,0
35.0,1000,1000,1.0000,1000.0,1.879,3.730,5.346,5.656,3.730,0,0,0,0,0
36.0,1000,1000,1.0000,1000.0,1.722,2.805,5.566,5.798,2.805,0,0,0,0,0
37.0,1000,1000,1.0000,1000.0,1.769,2.750,3.160,3.430,2.750,0,0,0,0,0
38.0,1000,1000,1.0000,1000.0,1.751,2.675,3.067,3.087,2.675,0,0,0,0,0
39.0,1000,1000,1.0000,1000.0,1.767,2.842,4.351,4.526,2.842,0,0,0,0,0
