t_rel_s,total,success,availability,rps,p50_ms,p99_ms,p999_ms,max_ms,p99_success_ms,status5xx,conn_refused,timeout,saturated,other_error
-30.0,695,695,1.0000,695.0,494.641,1697.573,1748.562,1748.562,1697.573,0,0,0,0,0
-29.0,1000,1000,1.0000,1000.0,548.410,653.056,687.113,691.064,653.056,0,0,0,0,0
-28.0,1000,1000,1.0000,1000.0,343.883,522.104,546.123,558.772,522.104,0,0,0,0,0
-27.0,1000,1000,1.0000,1000.0,31.418,208.127,239.599,251.046,208.127,0,0,0,0,0
-26.0,1000,1000,1.0000,1000.0,5.254,17.854,21.542,27.057,17.854,0,0,0,0,0
-25.0,1000,1000,1.0000,1000.0,4.081,11.045,13.111,13.205,11.045,0,0,0,0,0
-24.0,1000,1000,1.0000,1000.0,4.501,25.750,40.412,45.163,25.750,0,0,0,0,0
-23.0,1000,1000,1.0000,1000.0,3.150,17.034,21.897,24.936,17.034,0,0,0,0,0
-22.0,1000,1000,1.0000,1000.0,3.676,32.663,38.968,39.645,32.663,0,0,0,0,0
-21.0,1000,1000,1.0000,1000.0,3.154,17.718,22.233,22.389,17.718,0,0,0,0,0
-20.0,1000,1000,1.0000,1000.0,2.132,7.818,10.149,10.293,7.818,0,0,0,0,0
-19.0,1000,1000,1.0000,1000.0,2.255,4.123,4.960,5.090,4.123,0,0,0,0,0
-18.0,1000,1000,1.0000,1000.0,1.912,3.512,39.275,41.276,3.512,0,0,0,0,0
-17.0,1000,1000,1.0000,1000.0,2.073,3.547,4.018,4.430,3.547,0,0,0,0,0
-16.0,1000,1000,1.0000,1000.0,2.181,4.368,5.992,6.246,4.368,0,0,0,0,0
-15.0,1000,1000,1.0000,1000.0,2.055,3.271,3.743,4.609,3.271,0,0,0,0,0
-14.0,1000,1000,1.0000,1000.0,2.011,4.487,5.653,6.106,4.487,0,0,0,0,0
-13.0,1000,1000,1.0000,1000.0,1.920,2.868,3.013,3.367,2.868,0,0,0,0,0
-12.0,1000,1000,1.0000,1000.0,1.780,3.722,7.311,7.344,3.722,0,0,0,0,0
-11.0,1000,1000,1.0000,1000.0,1.807,3.424,3.854,3.880,3.424,0,0,0,0,0
-10.0,1000,1000,1.0000,1000.0,1.723,2.810,3.292,3.363,2.810,0,0,0,0,0
-9.0,1000,1000,1.0000,1000.0,1.752,2.970,3.681,4.081,2.970,0,0,0,0,0
-8.0,1000,1000,1.0000,1000.0,1.746,2.944,3.189,3.692,2.944,0,0,0,0,0
-7.0,1000,1000,1.0000,1000.0,1.826,2.994,3.617,3.942,2.994,0,0,0,0,0
-6.0,1000,1000,1.0000,1000.0,1.848,3.567,4.173,4.748,3.567,0,0,0,0,0
-5.0,1000,1000,1.0000,1000.0,1.789,2.912,4.415,4.569,2.912,0,0,0,0,0
-4.0,1000,1000,1.0000,1000.0,1.794,2.881,3.302,3.592,2.881,0,0,0,0,0
-3.0,1000,1000,1.0000,1000.0,1.844,3.007,3.668,3.771,3.007,0,0,0,0,0
-2.0,1000,1000,1.0000,1000.0,1.856,3.083,3.933,3.965,3.083,0,0,0,0,0
-1.0,1000,1000,1.0000,1000.0,1.914,3.299,3.922,3.976,3.299,0,0,0,0,0
0.0,1000,1000,1.0000,1000.0,3.178,511.817,562.840,571.959,511.817,0,0,0,0,0
1.0,1000,1000,1.0000,1000.0,715.065,1024.519,1052.024,1052.541,1024.519,0,0,0,0,0
2.0,1000,1000,1.0000,1000.0,355.812,662.009,686.024,687.538,662.009,0,0,0,0,0
3.0,1000,1000,1.0000,1000.0,2.315,12.547,19.808,23.215,12.547,0,0,0,0,0
