t_rel_s,total,success,availability,rps,p50_ms,p99_ms,p999_ms,max_ms,p99_success_ms,status5xx,conn_refused,timeout,saturated,other_error
-30.0,700,700,1.0000,700.0,754.653,2078.496,2162.508,2162.508,2078.496,0,0,0,0,0
-29.0,1000,1000,1.0000,1000.0,955.738,1127.964,1173.822,1174.591,1127.964,0,0,0,0,0
-28.0,1000,1000,1.0000,1000.0,742.462,899.247,908.396,908.438,899.247,0,0,0,0,0
-27.0,1000,1000,1.0000,1000.0,366.395,575.200,587.486,589.544,575.200,0,0,0,0,0
-26.0,1000,1000,1.0000,1000.0,25.106,210.603,231.952,257.918,210.603,0,0,0,0,0
-25.0,1000,1000,1.0000,1000.0,6.425,37.237,45.120,45.404,37.237,0,0,0,0,0
-24.0,1000,1000,1.0000,1000.0,9.012,29.413,34.422,34.680,29.413,0,0,0,0,0
-23.0,1000,1000,1.0000,1000.0,3.026,17.784,19.997,20.969,17.784,0,0,0,0,0
-22.0,1000,1000,1.0000,1000.0,2.443,7.908,9.658,10.398,7.908,0,0,0,0,0
-21.0,1000,1000,1.0000,1000.0,2.385,3.989,5.804,6.496,3.989,0,0,0,0,0
-20.0,1000,1000,1.0000,1000.0,2.327,4.122,4.496,5.136,4.122,0,0,0,0,0
-19.0,1000,1000,1.0000,1000.0,2.476,8.773,15.775,16.658,8.773,0,0,0,0,0
-18.0,1000,1000,1.0000,1000.0,2.075,3.622,4.552,4.791,3.622,0,0,0,0,0
-17.0,1000,1000,1.0000,1000.0,1.960,3.286,4.254,4.696,3.286,0,0,0,0,0
-16.0,1000,1000,1.0000,1000.0,1.920,3.364,6.268,6.511,3.364,0,0,0,0,0
-15.0,1000,1000,1.0000,1000.0,1.845,3.253,7.083,7.394,3.253,0,0,0,0,0
-14.0,1000,1000,1.0000,1000.0,1.816,2.912,5.133,5.904,2.912,0,0,0,0,0
-13.0,1000,1000,1.0000,1000.0,1.850,3.172,3.556,3.592,3.172,0,0,0,0,0
-12.0,1000,1000,1.0000,1000.0,1.841,2.936,4.734,5.727,2.936,0,0,0,0,0
-11.0,1000,1000,1.0000,1000.0,1.899,3.093,4.187,4.338,3.093,0,0,0,0,0
-10.0,1000,1000,1.0000,1000.0,1.897,5.779,11.794,12.119,5.779,0,0,0,0,0
-9.0,1000,1000,1.0000,1000.0,1.859,3.149,3.531,4.235,3.149,0,0,0,0,0
-8.0,1000,1000,1.0000,1000.0,1.910,3.450,4.507,4.526,3.450,0,0,0,0,0
-7.0,1000,1000,1.0000,1000.0,1.887,3.436,4.470,4.579,3.436,0,0,0,0,0
-6.0,1000,1000,1.0000,1000.0,1.872,3.028,3.385,3.461,3.028,0,0,0,0,0
-5.0,1000,1000,1.0000,1000.0,1.981,4.077,5.574,5.593,4.077,0,0,0,0,0
-4.0,1000,1000,1.0000,1000.0,1.937,3.346,4.477,4.500,3.346,0,0,0,0,0
-3.0,1000,1000,1.0000,1000.0,1.954,3.134,3.398,3.422,3.134,0,0,0,0,0
-2.0,1000,1000,1.0000,1000.0,1.921,3.218,3.594,3.595,3.218,0,0,0,0,0
-1.0,1000,1000,1.0000,1000.0,1.760,3.286,5.058,6.504,3.286,0,0,0,0,0
0.0,1000,1000,1.0000,1000.0,3.382,466.920,550.054,550.753,466.920,0,0,0,0,0
1.0,1000,1000,1.0000,1000.0,218.604,536.655,556.427,556.754,536.655,0,0,0,0,0
2.0,1000,1000,1.0000,1000.0,4.216,193.934,241.445,278.418,193.934,0,0,0,0,0
3.0,1000,1000,1.0000,1000.0,2.253,3.975,4.450,4.494,3.975,0,0,0,0,0
4.0,1000,1000,1.0000,1000.0,2.325,4.129,5.340,5.592,4.129,0,0,0,0,0
5.0,1000,1000,1.0000,1000.0,2.707,5.845,7.261,8.042,5.845,0,0,0,0,0
6.0,1000,1000,1.0000,1000.0,2.104,3.484,4.096,4.231,3.484,0,0,0,0,0
7.0,1000,1000,1.0000,1000.0,2.110,3.462,6.200,6.956,3.462,0,0,0,0,0
8.0,1000,1000,1.0000,1000.0,1.999,3.250,3.811,5.055,3.250,0,0,0,0,0
9.0,1000,1000,1.0000,1000.0,1.950,3.203,5.839,6.127,3.203,0,0,0,0,0
10.0,1000,1000,1.0000,1000.0,2.206,5.613,9.593,10.607,5.613,0,0,0,0,0
11.0,1000,1000,1.0000,1000.0,1.939,2.948,4.214,4.687,2.948,0,0,0,0,0
12.0,1000,1000,1.0000,1000.0,2.036,3.852,6.387,24.379,3.852,0,0,0,0,0
13.0,1000,1000,1.0000,1000.0,1.939,3.263,3.826,3.947,3.263,0,0,0,0,0
14.0,1000,1000,1.0000,1000.0,1.843,3.249,3.771,4.164,3.249,0,0,0,0,0
15.0,1000,1000,1.0000,1000.0,1.937,4.049,7.361,7.946,4.049,0,0,0,0,0
16.0,1000,1000,1.0000,1000.0,1.893,2.920,3.469,4.229,2.920,0,0,0,0,0
17.0,1000,1000,1.0000,1000.0,1.905,3.288,13.602,16.630,3.288,0,0,0,0,0
18.0,1000,1000,1.0000,1000.0,1.940,3.071,4.642,4.990,3.071,0,0,0,0,0
19.0,1000,1000,1.0000,1000.0,1.903,2.977,3.456,4.517,2.977,0,0,0,0,0
20.0,1000,1000,1.0000,1000.0,1.960,3.919,5.389,5.616,3.919,0,0,0,0,0
21.0,1000,1000,1.0000,1000.0,1.818,2.948,5.605,6.581,2.948,0,0,0,0,0
22.0,1000,1000,1.0000,1000.0,1.852,2.953,3.364,3.410,2.953,0,0,0,0,0
23.0,1000,1000,1.0000,1000.0,1.870,2.833,3.232,3.693,2.833,0,0,0,0,0
24.0,1000,1000,1.0000,1000.0,1.883,3.082,3.260,3.389,3.082,0,0,0,0,0
25.0,1000,1000,1.0000,1000.0,1.937,3.864,4.979,5.955,3.864,0,0,0,0,0
26.0,1000,1000,1.0000,1000.0,1.819,3.157,6.190,7.038,3.157,0,0,0,0,0
27.0,1000,1000,1.0000,1000.0,1.838,3.359,4.867,4.942,3.359,0,0,0,0,0
28.0,1000,1000,1.0000,1000.0,1.883,3.849,4.720,5.360,3.849,0,0,0,0,0
29.0,1000,1000,1.0000,1000.0,1.827,2.825,3.075,3.240,2.825,0,0,0,0,0
30.0,1000,1000,1.0000,1000.0,1.935,4.019,4.579,5.967,4.019,0,0,0,0,0
