t_rel_s,total,success,availability,rps,p50_ms,p99_ms,p999_ms,max_ms,p99_success_ms,status5xx,conn_refused,timeout,saturated,other_error
-30.0,723,723,1.0000,723.0,356.104,541.660,1121.009,1121.009,541.660,0,0,0,0,0
-29.0,1000,1000,1.0000,1000.0,76.460,353.596,418.023,431.631,353.596,0,0,0,0,0
-28.0,1000,1000,1.0000,1000.0,2.761,5.821,6.800,6.850,5.821,0,0,0,0,0
-27.0,1000,1000,1.0000,1000.0,2.336,5.412,9.792,10.281,5.412,0,0,0,0,0
-26.0,1000,1000,1.0000,1000.0,1.811,3.539,6.534,7.360,3.539,0,0,0,0,0
-25.0,1000,1000,1.0000,1000.0,1.766,3.461,4.720,4.965,3.461,0,0,0,0,0
-24.0,1000,1000,1.0000,1000.0,1.792,3.729,4.339,4.738,3.729,0,0,0,0,0
-23.0,1000,1000,1.0000,1000.0,1.808,3.707,4.436,5.437,3.707,0,0,0,0,0
-22.0,1000,1000,1.0000,1000.0,1.647,3.663,4.445,4.812,3.663,0,0,0,0,0
-21.0,1000,1000,1.0000,1000.0,1.609,2.943,3.617,3.894,2.943,0,0,0,0,0
-20.0,1000,1000,1.0000,1000.0,1.620,2.741,3.286,3.456,2.741,0,0,0,0,0
-19.0,1000,1000,1.0000,1000.0,1.635,3.314,6.888,7.851,3.314,0,0,0,0,0
-18.0,1000,1000,1.0000,1000.0,1.425,2.400,2.684,2.994,2.400,0,0,0,0,0
-17.0,1000,1000,1.0000,1000.0,1.470,2.500,2.881,3.247,2.500,0,0,0,0,0
-16.0,1000,1000,1.0000,1000.0,1.475,2.527,2.751,2.802,2.527,0,0,0,0,0
-15.0,1000,1000,1.0000,1000.0,1.490,3.961,5.253,6.453,3.961,0,0,0,0,0
-14.0,1000,1000,1.0000,1000.0,1.524,3.182,4.938,5.846,3.182,0,0,0,0,0
-13.0,1000,1000,1.0000,1000.0,1.518,2.735,3.055,3.068,2.735,0,0,0,0,0
-12.0,1000,1000,1.0000,1000.0,1.514,2.624,3.406,3.708,2.624,0,0,0,0,0
-11.0,1000,1000,1.0000,1000.0,1.597,2.771,3.006,3.034,2.771,0,0,0,0,0
-10.0,1000,1000,1.0000,1000.0,1.644,2.793,3.211,3.358,2.793,0,0,0,0,0
-9.0,1000,1000,1.0000,1000.0,1.764,3.710,13.054,16.983,3.710,0,0,0,0,0
-8.0,1000,1000,1.0000,1000.0,1.696,2.843,3.153,3.241,2.843,0,0,0,0,0
-7.0,1000,1000,1.0000,1000.0,1.803,3.206,4.751,4.963,3.206,0,0,0,0,0
-6.0,1000,1000,1.0000,1000.0,1.788,3.034,4.075,4.269,3.034,0,0,0,0,0
-5.0,1000,1000,1.0000,1000.0,1.724,3.132,6.349,6.961,3.132,0,0,0,0,0
-4.0,1000,1000,1.0000,1000.0,1.596,3.118,4.231,4.269,3.118,0,0,0,0,0
-3.0,1000,1000,1.0000,1000.0,1.451,2.564,3.870,4.245,2.564,0,0,0,0,0
-2.0,1000,1000,1.0000,1000.0,1.472,2.574,2.798,2.928,2.574,0,0,0,0,0
-1.0,1000,1000,1.0000,1000.0,1.489,2.625,2.846,2.902,2.625,0,0,0,0,0
0.0,1000,322,0.3220,1000.0,1.676,609.749,660.772,678.012,651.077,0,645,0,0,33
1.0,1000,1000,1.0000,1000.0,492.393,789.813,822.230,840.461,789.813,0,0,0,0,0
2.0,1000,1000,1.0000,1000.0,6.221,314.235,325.389,331.392,314.235,0,0,0,0,0
3.0,1000,1000,1.0000,1000.0,1.910,3.624,7.756,8.745,3.624,0,0,0,0,0
4.0,1000,1000,1.0000,1000.0,1.824,3.992,9.074,9.532,3.992,0,0,0,0,0
5.0,1000,1000,1.0000,1000.0,1.732,3.145,3.928,3.978,3.145,0,0,0,0,0
6.0,1000,1000,1.0000,1000.0,1.777,4.395,8.337,8.882,4.395,0,0,0,0,0
7.0,1000,1000,1.0000,1000.0,1.580,2.886,3.232,3.304,2.886,0,0,0,0,0
