t_rel_s,total,success,availability,rps,p50_ms,p99_ms,p999_ms,max_ms,p99_success_ms,status5xx,conn_refused,timeout,saturated,other_error
-30.0,644,644,1.0000,644.0,416.848,1032.590,1201.182,1201.182,1032.590,0,0,0,0,0
-29.0,1000,1000,1.0000,1000.0,37.224,375.125,1085.811,1089.370,375.125,0,0,0,0,0
-28.0,1000,1000,1.0000,1000.0,2.758,6.847,9.923,10.134,6.847,0,0,0,0,0
-27.0,1000,1000,1.0000,1000.0,2.233,6.332,7.756,7.884,6.332,0,0,0,0,0
-26.0,1000,1000,1.0000,1000.0,1.995,3.616,5.306,6.233,3.616,0,0,0,0,0
-25.0,1000,1000,1.0000,1000.0,2.153,26.918,98.040,113.842,26.918,0,0,0,0,0
-24.0,1000,1000,1.0000,1000.0,1.966,56.472,75.477,80.989,56.472,0,0,0,0,0
-23.0,1000,1000,1.0000,1000.0,1.757,13.060,14.892,21.098,13.060,0,0,0,0,0
-22.0,1000,1000,1.0000,1000.0,1.674,5.582,6.854,9.426,5.582,0,0,0,0,0
-21.0,1000,1000,1.0000,1000.0,1.522,3.044,3.640,4.009,3.044,0,0,0,0,0
-20.0,1000,1000,1.0000,1000.0,1.582,3.374,4.336,5.145,3.374,0,0,0,0,0
-19.0,1000,1000,1.0000,1000.0,1.649,2.832,3.445,3.582,2.832,0,0,0,0,0
-18.0,1000,1000,1.0000,1000.0,1.506,2.723,4.360,4.463,2.723,0,0,0,0,0
-17.0,1000,1000,1.0000,1000.0,1.551,2.919,3.486,3.507,2.919,0,0,0,0,0
-16.0,1000,1000,1.0000,1000.0,1.615,3.050,4.349,5.362,3.050,0,0,0,0,0
-15.0,1000,1000,1.0000,1000.0,1.469,3.955,7.940,8.895,3.955,0,0,0,0,0
-14.0,1000,1000,1.0000,1000.0,1.375,4.285,6.207,6.664,4.285,0,0,0,0,0
-13.0,1000,1000,1.0000,1000.0,1.402,2.631,4.739,4.804,2.631,0,0,0,0,0
-12.0,1000,1000,1.0000,1000.0,1.468,2.463,2.888,2.997,2.463,0,0,0,0,0
-11.0,1000,1000,1.0000,1000.0,1.472,2.630,3.621,4.302,2.630,0,0,0,0,0
-10.0,1000,1000,1.0000,1000.0,1.500,3.084,4.112,4.182,3.084,0,0,0,0,0
-9.0,1000,1000,1.0000,1000.0,1.531,2.739,3.007,3.232,2.739,0,0,0,0,0
-8.0,1000,1000,1.0000,1000.0,1.573,2.819,3.365,3.441,2.819,0,0,0,0,0
-7.0,1000,1000,1.0000,1000.0,1.617,3.356,29.267,32.271,3.356,0,0,0,0,0
