t_rel_s,total,success,availability,rps,p50_ms,p99_ms,p999_ms,max_ms,p99_success_ms,status5xx,conn_refused,timeout,saturated,other_error
-30.0,727,727,1.0000,727.0,362.612,1129.165,1152.704,1152.704,1129.165,0,0,0,0,0
-29.0,1000,1000,1.0000,1000.0,73.267,286.186,345.419,351.402,286.186,0,0,0,0,0
-28.0,1000,1000,1.0000,1000.0,2.248,4.532,7.628,7.769,4.532,0,0,0,0,0
-27.0,1000,1000,1.0000,1000.0,2.229,4.098,5.066,5.251,4.098,0,0,0,0,0
-26.0,1000,1000,1.0000,1000.0,1.773,3.573,7.675,8.679,3.573,0,0,0,0,0
-25.0,1000,1000,1.0000,1000.0,1.799,3.033,3.758,3.816,3.033,0,0,0,0,0
-24.0,1000,1000,1.0000,1000.0,1.842,3.248,3.686,3.935,3.248,0,0,0,0,0
-23.0,1000,1000,1.0000,1000.0,1.759,3.412,4.316,4.991,3.412,0,0,0,0,0
-22.0,1000,1000,1.0000,1000.0,1.681,3.185,4.614,5.156,3.185,0,0,0,0,0
-21.0,1000,1000,1.0000,1000.0,1.581,2.860,3.521,3.568,2.860,0,0,0,0,0
-20.0,1000,1000,1.0000,1000.0,1.445,2.733,5.079,5.208,2.733,0,0,0,0,0
-19.0,1000,1000,1.0000,1000.0,1.428,2.327,2.836,3.127,2.327,0,0,0,0,0
-18.0,1000,1000,1.0000,1000.0,1.475,2.488,2.649,2.700,2.488,0,0,0,0,0
-17.0,1000,1000,1.0000,1000.0,1.516,2.814,3.686,3.804,2.814,0,0,0,0,0
-16.0,1000,1000,1.0000,1000.0,1.477,2.535,3.083,3.371,2.535,0,0,0,0,0
-15.0,1000,1000,1.0000,1000.0,1.490,2.655,3.067,3.118,2.655,0,0,0,0,0
-14.0,1000,1000,1.0000,1000.0,1.522,2.592,3.286,3.850,2.592,0,0,0,0,0
-13.0,1000,1000,1.0000,1000.0,1.578,2.607,2.847,2.901,2.607,0,0,0,0,0
-12.0,1000,1000,1.0000,1000.0,1.637,2.914,3.386,4.045,2.914,0,0,0,0,0
-11.0,1000,1000,1.0000,1000.0,1.613,2.704,3.692,3.755,2.704,0,0,0,0,0
-10.0,1000,1000,1.0000,1000.0,1.612,2.883,3.392,3.393,2.883,0,0,0,0,0
-9.0,1000,1000,1.0000,1000.0,1.673,3.048,3.126,3.194,3.048,0,0,0,0,0
-8.0,1000,1000,1.0000,1000.0,1.788,3.378,5.047,5.187,3.378,0,0,0,0,0
-7.0,1000,1000,1.0000,1000.0,1.793,3.559,6.632,6.691,3.559,0,0,0,0,0
-6.0,1000,1000,1.0000,1000.0,1.475,2.515,3.132,3.171,2.515,0,0,0,0,0
-5.0,1000,1000,1.0000,1000.0,1.504,2.460,2.760,2.796,2.460,0,0,0,0,0
-4.0,1000,1000,1.0000,1000.0,1.610,2.859,3.160,3.872,2.859,0,0,0,0,0
-3.0,1000,1000,1.0000,1000.0,1.524,2.686,3.053,3.279,2.686,0,0,0,0,0
-2.0,1000,1000,1.0000,1000.0,1.591,2.812,3.369,4.244,2.812,0,0,0,0,0
-1.0,1000,1000,1.0000,1000.0,1.554,2.632,2.814,2.946,2.632,0,0,0,0,0
0.0,1000,309,0.3090,1000.0,2.132,333.400,355.650,361.425,347.727,0,652,0,0,39
1.0,1000,1000,1.0000,1000.0,406.250,753.470,865.326,866.213,753.470,0,0,0,0,0
2.0,1000,1000,1.0000,1000.0,2.758,310.418,331.056,332.153,310.418,0,0,0,0,0
3.0,1000,1000,1.0000,1000.0,1.810,4.387,9.072,9.697,4.387,0,0,0,0,0
4.0,1000,1000,1.0000,1000.0,1.732,2.910,3.488,3.531,2.910,0,0,0,0,0
5.0,1000,1000,1.0000,1000.0,1.890,16.581,40.352,41.466,16.581,0,0,0,0,0
6.0,1000,1000,1.0000,1000.0,1.790,3.567,9.220,10.200,3.567,0,0,0,0,0
7.0,1000,1000,1.0000,1000.0,1.675,3.158,3.505,3.968,3.158,0,0,0,0,0
8.0,1000,1000,1.0000,1000.0,1.689,2.820,3.185,4.036,2.820,0,0,0,0,0
9.0,1000,1000,1.0000,1000.0,1.658,2.636,3.092,3.679,2.636,0,0,0,0,0
10.0,1000,1000,1.0000,1000.0,1.678,2.751,3.151,3.455,2.751,0,0,0,0,0
