t_rel_s,total,success,availability,rps,p50_ms,p99_ms,p999_ms,max_ms,p99_success_ms,status5xx,conn_refused,timeout,saturated,other_error
-30.0,734,728,0.9918,734.0,557.081,2181.232,2217.040,2217.040,2181.232,0,6,0,0,0
-29.0,1000,1000,1.0000,1000.0,1054.603,1194.246,1880.239,1898.790,1194.246,0,0,0,0,0
-28.0,1000,1000,1.0000,1000.0,844.634,1008.706,1612.804,1614.089,1008.706,0,0,0,0,0
-27.0,1000,1000,1.0000,1000.0,530.116,698.837,718.552,738.942,698.837,0,0,0,0,0
-26.0,1000,1000,1.0000,1000.0,190.506,407.654,422.931,431.496,407.654,0,0,0,0,0
-25.0,1000,1000,1.0000,1000.0,5.600,45.506,54.046,57.764,45.506,0,0,0,0,0
-24.0,1000,1000,1.0000,1000.0,7.072,28.297,41.059,43.205,28.297,0,0,0,0,0
-23.0,1000,1000,1.0000,1000.0,3.420,11.952,14.274,14.344,11.952,0,0,0,0,0
-22.0,1000,1000,1.0000,1000.0,3.607,15.876,30.993,31.453,15.876,0,0,0,0,0
-21.0,1000,1000,1.0000,1000.0,2.880,38.195,43.310,46.118,38.195,0,0,0,0,0
-20.0,1000,1000,1.0000,1000.0,2.560,4.634,5.460,6.010,4.634,0,0,0,0,0
-19.0,1000,1000,1.0000,1000.0,2.547,19.268,23.260,24.258,19.268,0,0,0,0,0
-18.0,1000,1000,1.0000,1000.0,1.943,3.035,3.660,4.313,3.035,0,0,0,0,0
-17.0,1000,1000,1.0000,1000.0,1.989,4.235,5.706,6.185,4.235,0,0,0,0,0
-16.0,1000,1000,1.0000,1000.0,1.989,3.714,5.625,7.463,3.714,0,0,0,0,0
-15.0,1000,1000,1.0000,1000.0,1.988,3.149,3.716,4.077,3.149,0,0,0,0,0
-14.0,1000,1000,1.0000,1000.0,2.031,3.500,4.124,4.191,3.500,0,0,0,0,0
-13.0,1000,1000,1.0000,1000.0,1.911,3.055,21.490,22.481,3.055,0,0,0,0,0
-12.0,1000,1000,1.0000,1000.0,2.053,4.137,4.925,5.129,4.137,0,0,0,0,0
-11.0,1000,1000,1.0000,1000.0,1.886,4.761,9.861,10.187,4.761,0,0,0,0,0
-10.0,1000,1000,1.0000,1000.0,1.840,3.167,4.113,5.142,3.167,0,0,0,0,0
-9.0,1000,1000,1.0000,1000.0,1.834,3.178,4.024,4.200,3.178,0,0,0,0,0
-8.0,1000,1000,1.0000,1000.0,1.881,3.193,4.150,14.139,3.193,0,0,0,0,0
-7.0,1000,1000,1.0000,1000.0,2.013,4.326,5.526,5.936,4.326,0,0,0,0,0
-6.0,1000,1000,1.0000,1000.0,1.943,3.176,3.465,3.688,3.176,0,0,0,0,0
-5.0,1000,1000,1.0000,1000.0,1.930,3.144,3.496,3.540,3.144,0,0,0,0,0
-4.0,1000,1000,1.0000,1000.0,1.858,3.186,4.278,5.093,3.186,0,0,0,0,0
-3.0,1000,1000,1.0000,1000.0,1.819,3.043,3.750,4.315,3.043,0,0,0,0,0
-2.0,1000,1000,1.0000,1000.0,1.883,3.681,4.314,4.341,3.681,0,0,0,0,0
-1.0,1000,1000,1.0000,1000.0,1.901,2.996,3.339,3.611,2.996,0,0,0,0,0
0.0,1000,1000,1.0000,1000.0,2.947,339.777,393.868,394.594,339.777,0,0,0,0,0
1.0,1000,1000,1.0000,1000.0,10.947,262.753,294.565,354.800,262.753,0,0,0,0,0
2.0,1000,1000,1.0000,1000.0,20.792,227.120,280.111,326.981,227.120,0,0,0,0,0
3.0,1000,1000,1.0000,1000.0,2.552,5.756,7.665,7.839,5.756,0,0,0,0,0
4.0,1000,1000,1.0000,1000.0,2.544,4.529,5.436,5.485,4.529,0,0,0,0,0
5.0,1000,1000,1.0000,1000.0,2.675,5.172,6.346,6.913,5.172,0,0,0,0,0
6.0,1000,1000,1.0000,1000.0,2.344,6.628,29.712,32.708,6.628,0,0,0,0,0
7.0,1000,1000,1.0000,1000.0,2.188,4.122,6.592,7.117,4.122,0,0,0,0,0
8.0,1000,1000,1.0000,1000.0,2.056,3.909,4.826,5.131,3.909,0,0,0,0,0
9.0,1000,1000,1.0000,1000.0,2.033,3.567,3.933,4.262,3.567,0,0,0,0,0
